preset,group,group_field,card_count,main_card_count,trigger_card_count,non_trigger_card_count,g_zone_card_count,main_capacity,trigger_capacity,non_trigger_capacity,g_zone_capacity,basic_50_card_main,main_with_16_triggers_34_non_triggers,ride_deck_grade_0_1_2_3_choice,g_zone_16,main_50_any_mix_digits,main_50_any_mix_scientific,main_50_exact_16_triggers_digits,main_50_exact_16_triggers_scientific,ride_deck_choices_exact,issues
link_joker_legion_mate,ทาจิคาเสะ,clan,34,34,6,28,0,136,24,112,0,True,True,True,False,22,2.612e+21,20,2.377e+19,1728,
link_joker_legion_mate,นารุคามิ,clan,107,107,10,97,0,428,40,388,0,True,True,True,False,42,1.537e+41,38,1.178e+37,285376,
link_joker_legion_mate,นุบาทามะ,clan,19,19,4,15,0,76,16,60,0,True,True,True,False,12,1.885e+11,10,1.701e+9,160,
link_joker_legion_mate,มุราคุโมะ,clan,11,11,0,11,0,44,0,44,0,False,False,True,False,1,0,1,0,54,main_capacity_below_50;trigger_capacity_below_16
link_joker_legion_mate,รอยัล พาลาดิน,clan,79,79,11,68,0,316,44,272,0,True,True,True,False,36,5.530e+35,34,1.271e+33,77520,
link_joker_legion_mate,ลิงค์โจ๊กเกอร์,clan,101,101,13,88,0,404,52,352,0,True,True,True,False,41,1.369e+40,38,1.637e+37,174720,
link_joker_legion_mate,สไปค์ บราเธอร์ส,clan,28,28,2,26,0,112,8,104,0,True,False,True,False,19,1.441e+18,1,0,1323,trigger_capacity_below_16
link_joker_legion_mate,อควอฟอร์ซ,clan,81,81,8,73,0,336,44,292,0,True,True,True,False,37,1.542e+36,33,2.987e+32,80408,
link_joker_legion_mate,เกรท เนเจอร์,clan,10,10,1,9,0,40,4,36,0,False,False,True,False,1,0,1,0,10,main_capacity_below_50;trigger_capacity_below_16
link_joker_legion_mate,เจเนซิส,clan,104,104,14,90,0,416,56,360,0,True,True,True,False,41,4.660e+40,38,7.826e+37,176904,
link_joker_legion_mate,เนโอ เนคต้า,clan,25,25,1,24,0,100,4,96,0,True,False,True,False,17,1.670e+16,1,0,1120,trigger_capacity_below_16
