series,count
[G-LD02] VG-G-LD02 : The Overlord blaze,16
[G-LD03] VG-G-LD03 : The Blaster Aichi Sendou,18
[G-MT01] VG-G-MT01 : TRIAL DECK RISE TO ROYALTY,19
[G-TCB01] VG-G-TCB01 : The RECKLESS RAMPAGE,75
[G-TCB02] VG-G-TCB02 : The GENIUS STRATEGY,75
[G-TD01] VG-G-TD01 : Awakening of the Interdimensional Dragon,19
[G-TD02] VG-G-TD02 : Divine Swordsman of the Shiny Star,16
[G-TD03] VG-G-TD03 : Flower Maiden of Purity,19
[G-TD04] VG-G-TD04 : Blue Cavalry of the Divine Marine Spirits,19
[G-TD05] VG-G-TD05 : Fateful Star Messiah,19
[G-TD06] VG-G-TD06 : Rallying Call of the Interspectral Dragon,19
[G-TD07] VG-G-TD07 : Illusionist of the Crescent Moon,19
[G-TD08] VG-G-TD08 : Vampire Princess of the Nether Hour,19
[G-TD09] VG-G-TD09 : True Zodiac Time Beasts,19
[G-TD10] VG-G-TD10 : Ritual of Dragon Sorcery,18
[G-TD11] VG-G-TD11 : Divine Knight of Heavenly Decree,18
[G-TD12] VG-G-TD12 : Flower Princess of Abundant Blooming,18
[G-TD13] VG-G-TD13 : Ruler of the Evil-eye,18
[G-TD14] VG-G-TD14 : Debut of the Divas,19
[G-TD15] VG-G-TD15 : Messiah Dragon of Rebirth,18
[MBD01] Monthly Bushiroad Deck 1,9
[MBT01] VG-MBT01 : Neon Messiah,50
[MT01] VG-MT01 : DAIGO Special Set,12
[MTD01] VG-MTD01 : Malefic Deletor,17
[PR] Promo Card,293
[SW-BT01] VG-SW-BT01 : Iconic Collection SWEAT16!,55
[SW-PR] SWEAT16! Promo Card,50
[T-BT01] VG-T-BT01 Booster Set : The Mask Collection,32
[T-PR] TH Promo Card,33
[T-TD01] VG-T-TD01 : The Mask Collection,15
[T-TD02] VG-T-TD02 : The Mask Collection Neo Warriors Strengthen,16
[TD01] VG-TD01 : Blaster Blade,11
[TD02] VG-TD02 : Dragonic Overlord,11
[TD03] VG-TD03 : Golden Mechanical Soldier,11
[TD04] VG-TD04 : Maiden Princess of the Cherry Blossoms,11
[TD05] VG-TD05 : Slash of Silver Wolf,13
[TD06] VG-TD06 : Resonance of Thunder Dragon,13
[TD07] VG-TD07 : Descendants of the Marine Emperor,13
[TD08] VG-TD08 : Liberator of the Sanctuary,12
[TD09] VG-TD09 : Eradicator of the Empire,12
[TD10] VG-TD10 : Purgatory Revenger,12
[TD11] VG-TD11 : Star-vader Invasion,12
[TD12] VG-TD12 : Dimensional Brave Kaiser,12
[TD13] VG-TD13 : Successor of the Sacred Regalia,12
[TD14] VG-TD14 : Seeker of Hope,17
[TD15] VG-TD15 : Brawler of Friendship,17
[TD16] VG-TD16 : Divine Judgment of the Bluish Flames,17
